exp_strain,exp_stress
0.038910924,475.8054885
0.038996511,476.1313664
0.039081894,476.4662228
0.039167284,476.7831353
0.039252681,477.0821084
0.039338086,477.4078387
0.039423921,477.7064915
0.03950934,477.9963513
0.03959519,478.2904204
0.039681047,478.5978349
0.039766911,478.9096568
0.03985236,479.1903526
0.039937816,479.4888595
0.040023702,479.7915715
0.040109596,480.1076216
0.040194651,480.4016902
0.040280559,480.7086899
0.040366052,481.0113687
0.040451552,481.3050602
0.040536636,481.5721154
0.04062215,481.8523046
0.040707672,482.1324388
0.040792777,482.3859461
0.040878737,482.661306
0.040963858,482.9325587
0.041049832,483.221195
0.041134967,483.4968006
0.041220533,483.7944514
0.041306529,484.091839
0.041393381,484.3842978
0.041479816,484.663525
0.041566259,484.947156
0.041653133,485.2171484
0.041739166,485.4785812
0.041825208,485.7176714
0.041911256,485.9567133
0.041996888,486.182541
0.042082952,486.4259444
0.042168599,486.6650485
0.042254253,486.9085606
0.042339914,487.1564798
0.042426007,487.408598
0.042512108,487.6695756
0.042599488,487.9343347
0.042686876,488.2168571
0.04277512,488.4900005
0.042863796,488.7450668
0.042951632,488.987136
0.043040748,489.2418903
0.043129448,489.4656333
0.043218156,489.7071363
0.043306871,489.9396859
0.043396019,490.1853316
0.043485175,490.4175737
0.043574339,490.6319654
0.043662662,490.8600776
0.043751841,491.1055228
0.043841454,491.3507078
0.043931499,491.5822859
0.044021127,491.8184717
0.044110764,492.0412634
0.044200408,492.2551123
0.044289636,492.4691242
0.044378872,492.6697499
0.044468115,492.8792245
0.044556942,493.0844176
0.044645351,493.2853306
0.044734619,493.4813357
0.044823894,493.6772979
0.044912752,493.882316
0.045001618,494.0739579
0.045090492,494.2922194
0.045180224,494.4789115
0.045269114,494.6704256
0.045358863,494.8748041
0.045448619,495.06137
0.045537958,495.2525467
0.045627305,495.4392402
0.045715809,495.6263142
0.045804747,495.8086959
0.045894118,496.0041462
0.045983071,496.1997649
0.046072458,496.3906904
0.046162279,496.5769237
0.046251256,496.7502233
0.046339815,496.9281337
0.046428382,497.0971297
0.046517809,497.2745388
0.046607244,497.4519082
0.046697112,497.6245896
0.046785711,497.8067401
0.046874318,497.9755436
0.046963358,498.1396619
0.047051981,498.3128251
0.047141037,498.4946062
0.047230527,498.6672665
0.047320452,498.8662772
0.047409959,499.0610235
0.047500326,499.2597341
0.047589848,499.4543941
0.047680658,499.635076
0.047771902,499.8199353
0.047863155,500.0091838
0.047954842,500.1848837
0.048046112,500.3563258
0.048138243,500.5361614
0.048229955,500.7117393
0.048322956,500.8600603
0.048414259,501.0092
0.048506851,501.1665194
0.048599024,501.3195871
0.048692059,501.4589072
0.048783823,501.6076893
0.048876875,501.7602199
0.04896951,501.9173541
0.049062579,502.0609584
0.049154804,502.2005305
0.049247891,502.3484896
0.04934056,502.4833529
0.049433237,502.6181826
0.049526777,502.7481253
0.04961819,502.8835325
0.049710893,503.0182618
0.04980275,503.1533874
0.049894615,503.2840575
0.049986489,503.4146951
0.050077517,503.5368876
0.050168553,503.6678917
0.050260024,503.8119102
0.050351504,503.9470534
0.05044342,504.0819479
0.050535345,504.2168091
0.050627705,504.3381643
0.050719646,504.4552855
0.050812024,504.5677428
0.050903982,504.689222
0.050996377,504.8281241
0.051088352,504.9407059
0.051180763,505.0618756
0.051272328,505.1878628
0.0513639,505.3049868
0.051455053,505.4002205
0.051545787,505.5177195
0.051636956,505.6438016
0.051728134,505.761024
0.051819321,505.8826304
0.051910087,505.9867694
0.052000862,506.1129459
0.052091645,506.2170284
0.052181151,506.3084977
0.052271522,506.4303911
0.052362329,506.5696826
0.052453145,506.6912967
0.052543541,506.817508
0.052634801,506.9388436
0.05272607,507.0557388
0.052817348,507.181423
0.052909062,507.2848136
0.053001213,507.3923678
0.053093802,507.5084923
0.05318597,507.6159887
0.053278576,507.723239
0.053370761,507.8350854
0.053464241,507.9330296
0.053556444,508.0404124
0.05365037,508.160112
0.053743448,508.2625951
0.053836963,508.3868566
0.053930058,508.5068996
0.05402402,508.613263
0.054117561,508.7110083
0.05421197,508.812693
0.054306816,508.9185338
0.054400813,509.0247824
0.054495249,509.1351854
0.054589693,509.2323538
0.054684146,509.3206925
0.054778608,509.4134062
0.054873508,509.514675
0.054968847,509.6112967
0.055063766,509.721308
0.055158263,509.8183112
0.05525277,509.8888951
0.055346856,509.9728703
0.055440951,510.0480251
0.055535485,510.1229375
0.055629597,510.2068398
0.055724149,510.290498
0.055818709,510.3565467
0.055912848,510.4447718
0.056006997,510.5109947
0.056101584,510.5901612
0.05619618,510.682487
0.056290785,510.7659982
0.056385398,510.8582716
0.056479591,510.9419518
0.056573793,511.0124287
0.056668003,511.0740984
0.056761362,511.1361872
0.05685473,511.193864
0.056947245,511.2607435
0.0570402,511.3361633
0.057132733,511.4161707
0.057225274,511.4917646
0.057317824,511.5673358
0.057411244,511.6424437
